rw_ratio,io_size,reads,writes,rw_ratio_rnd,rw_ratio_seq,io_size_rnd,io_size_seq,bw_r,response_time_rnd,response_time_seq
23,41,189,609,65.0,10.0,38,41,32744,6.4555397,15.230955
58,63,4000,2826,49.0,58.0,30,65,436155,5.874866,6.775595
61,70,16295,10237,17.0,65.0,15,75,1866912,5.1459017,7.8066063
21,32,133,479,93.0,12.0,49,30,20074,5.347491,7.971851
88,99,9192,1220,36.0,89.0,24,101,1040983,5.9752316,4.2036457
59,63,13471,9278,67.0,58.0,37,64,1447648,5.7811947,9.177929
75,81,41121,13207,76.0,75.0,42,84,4421533,4.6731334,6.5409327
85,95,15600,2624,10.0,86.0,12,96,1734797,4.837554,6.5005383
71,106,6334,2558,43.0,72.0,26,109,947961,5.4536843,6.904346
70,74,7657,3168,69.0,70.0,39,75,805838,6.284513,7.245765
38,45,479,750,9.0,46.0,12,54,56157,4.0147057,7.168312
61,137,12080,7636,18.0,67.0,15,154,2704893,5.196827,6.500014
64,97,7029,3942,79.0,62.0,42,101,1069804,3.8683038,7.8562303
52,62,2884,2609,74.0,50.0,40,63,341083,4.2465897,10.239787
67,71,6253,2997,19.0,79.0,16,84,658823,5.48339,6.4643574
64,78,6062,3268,27.0,74.0,19,93,728235,4.139189,6.441756
56,64,2114,1616,30.0,61.0,21,71,238734,7.268942,8.55625
83,108,15466,3058,63.0,84.0,31,110,2001665,5.0996923,7.9590926
39,48,296,456,24.0,41.0,19,53,36543,4.865746,6.49028
72,97,19776,7504,62.0,72.0,36,99,2648499,5.5394716,6.9884496
44,68,6258,7888,96.0,38.0,51,70,968817,4.0642133,9.352904
72,106,35524,13560,37.0,73.0,24,110,5233625,5.429017,6.239005
47,211,1409,1548,27.0,49.0,20,225,625280,5.8484316,8.134233
60,67,3164,2072,76.0,58.0,42,71,355908,3.4897647,8.35263
60,68,14067,9003,83.0,59.0,43,69,1583442,4.913641,7.1981726
62,101,9773,5957,60.0,62.0,35,106,1598066,5.3733726,10.011116
53,118,11149,9515,34.0,57.0,22,133,2443852,6.51175,8.303166
62,131,12473,7569,62.0,62.0,35,136,2630785,4.9930525,5.828912
45,52,1282,1548,45.0,45.0,27,58,149924,4.2026186,6.990437
82,92,3223,674,26.0,85.0,20,95,360996,6.985549,7.5908785
38,49,2723,4312,50.0,37.0,30,52,351575,6.0651226,8.89313
71,97,13025,5167,14.0,77.0,14,105,1772256,3.7858114,6.043
66,80,15180,7490,7.0,75.0,11,90,1822639,5.835171,7.850107
66,73,26526,13563,66.0,66.0,37,74,2932547,5.083255,7.82849
26,63,5201,14089,94.0,16.0,50,66,1233137,5.0173054,9.780907
81,95,24112,5446,32.0,83.0,22,98,2826993,5.496827,5.787763
57,103,9820,7170,84.0,56.0,46,106,1752224,4.551776,8.860691
47,99,11231,12539,24.0,51.0,18,116,2372132,6.214789,7.758338
58,63,4968,3584,37.0,62.0,24,71,539064,4.562816,5.6537933
80,89,6593,1624,68.0,81.0,39,93,736027,3.2424042,5.797266
73,80,9540,3505,63.0,73.0,36,83,1051075,4.4269056,6.8666506
64,71,10468,5836,23.0,70.0,18,79,1165592,4.9426513,6.6245303
67,73,40585,19966,92.0,61.0,50,78,4442151,3.111404,6.0760517
66,111,9342,4726,19.0,72.0,16,123,1563475,3.8778274,7.753195
64,97,1314,737,23.0,69.0,18,107,198982,6.5380263,10.805242
61,83,6968,4290,83.0,60.0,45,86,943181,4.7388287,6.10979
27,59,1561,4043,93.0,18.0,48,61,334121,3.6321466,7.206875
